"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"SLC12A9",0.93959689037543,3.82922724470658,14.2404605383383,0.000916606554400311,0.0289358580468735,0.947493164213859,1,1,0.947493164213859
"LAMA5",0.996554971151091,5.74505986660357,20.6812387226657,0.000154450198028741,0.0151094483270309,1.08204123934029,0.875,0.875,0.946786084422753
"UVSSA",0.851011023739225,4.28892617867183,13.3619036968864,0.00122848454015695,0.0332351047860118,0.9429540177755,1,1,0.9429540177755
"DMTF1",0.940147159522277,5.34646645903055,18.7432685072596,0.00026685422517158,0.0175920107082126,0.942834948624741,1,1,0.942834948624741
"TSPOAP1",1.27441354358704,3.09221220023803,15.4084321370959,0.000527607996976476,0.0233840119304538,1.25582911668969,0.75,0.75,0.941871837517271
"LRRC7",2.55693754939611,0.878915029329426,16.6510869433519,0.000300485719734285,0.018278090843868,1.50155461297793,0.625,0.625,0.938471633111204
"INPPL1",1.09977404242376,4.84129276878028,17.1773506263793,0.000402375907963405,0.0205488710968993,0.936905581153761,1,1,0.936905581153761
"RUFY3",0.919774234277585,5.92479901391253,18.768358004822,0.000270311212927215,0.0175920107082126,0.933607768217187,1,1,0.933607768217187
"ITGA7",1.16818882335286,6.64286450212652,23.3049017867521,8.20115143638661e-05,0.0146460604470427,0.926462466866648,1,1,0.926462466866648
"AVL9",0.768076969765938,4.17919728887519,11.7423836445578,0.00226194932425072,0.0470933171718077,0.922968169704486,1,1,0.922968169704486
"WDFY3",0.83638178250109,5.34514969181344,13.1011779072851,0.00150466764280466,0.0374043922845356,1.05380869424815,0.875,1,0.92208260746713
"WDR59",0.846689003134636,4.52524883908152,13.5554484218947,0.00117204959808611,0.0325244183449461,0.921331984294042,1,1,0.921331984294042
"SRF",0.912311566821331,5.15281665672859,14.6166038128954,0.000909997697967738,0.0289358580468735,0.916188585125785,1,1,0.916188585125785
"ANKRD36C",1.03642170686927,6.14205091194134,15.4186142954622,0.000729328546270985,0.0268910695220192,0.915010135521463,1,1,0.915010135521463
"MON2",0.864145074426461,5.51385400840191,18.7821910035308,0.000261943931637203,0.0175920107082126,0.915004321281535,1,1,0.915004321281535
"RICTOR",0.988906921757714,5.73093714505563,19.111611623309,0.000246572343350671,0.0173105227427547,0.898292234169152,1,1,0.898292234169152
"SHPRH",0.85579015055015,5.71760912731135,12.8823778522848,0.00164418094215085,0.0388461304372818,0.897906294728143,1,1,0.897906294728143
"NKTR",0.772694503848096,7.50249471436341,18.0129447907266,0.000337552270001614,0.0190964523337402,0.897428969982267,1,1,0.897428969982267
"ARID2",0.890432777085111,4.79425298030201,17.813575651556,0.000340575956451114,0.0190964523337402,0.88348282947762,1,1,0.88348282947762
"MDM4",1.04185653350945,6.4872298992317,24.2872448446343,6.4229482274372e-05,0.0146460604470427,0.882417958128558,1,1,0.882417958128558
"CBFA2T2",1.03412647026866,4.0894674477591,12.6952572016526,0.00162745817748146,0.0388075971620647,1.00216130385381,0.875,0.875,0.876891140872082
"CDK13",0.995106713034175,5.83760736614459,23.0546545650365,8.62449817030538e-05,0.0146460604470427,0.876523321435062,1,1,0.876523321435062
"KDM5C",1.03966685774857,4.64022525127299,19.2917247702761,0.000216667610231406,0.0165214896923583,0.870678526750368,1,1,0.870678526750368
"ZNF518A",1.01157215742623,5.50517688603912,16.8223830114241,0.000471630497427188,0.0220064462218362,0.87052588478924,1,1,0.87052588478924
"NPHP3",0.788813862784157,5.87264123890967,19.0914424350428,0.000244171308694316,0.0173105227427547,0.851715668559527,1,1,0.851715668559527
"NT5DC3",0.818645874256536,4.38939511534276,13.2230405386967,0.00133334773518281,0.0350625677750032,0.970352718270668,0.875,1,0.849058628486835
"PIAS2",0.90671673789609,4.69281516165146,16.3305809288384,0.000529230209706618,0.0233840119304538,0.848929145546602,1,1,0.848929145546602
"PPIL2",0.872428236439448,4.52295503567845,11.7415470215982,0.00233358028413672,0.0476692958042131,0.969610946684481,0.875,1,0.848409578348921
"SBF2",0.788994432852755,5.4488988290969,11.8393823861992,0.00232442311393746,0.0476692958042131,0.967500576249509,0.875,1,0.846563004218321
"MEMO1",1.05970884234214,3.44401269964412,12.3612306000997,0.00175061572322721,0.0403185108151757,0.966513044297447,0.875,1,0.845698913760266
"USP19",0.898785052241108,3.79063753131674,12.6277878775642,0.00160490997793126,0.0388013827426092,0.965588449475673,0.875,1,0.844889893291214
"DDX17",0.861132814753261,8.64312869812835,26.9288837449207,3.41015666560589e-05,0.0146460604470427,0.842229958562217,1,1,0.842229958562217
"RBM5",0.892255927684896,6.56059694795264,19.3362285185933,0.000232801806159039,0.0170017692114593,0.833264839250692,1,1,0.833264839250692
"REXO1",0.961194479483951,3.54076841731629,13.7719457669338,0.00104114638725271,0.0302576460377875,0.947169707165755,0.875,1,0.828773493770035
"MACF1",1.06217656259693,8.31701123969919,21.096208384529,0.00014411159579335,0.0151094483270309,0.827391299053652,1,1,0.827391299053652
"HCG18",0.777442139084458,5.20845554259789,13.2349513490228,0.00144332787993737,0.0366553269688599,0.825020465808511,1,1,0.825020465808511
"FRYL",0.887601672819976,6.03319045993978,13.7394110333362,0.00123340909629367,0.0332564526540921,0.938452069151811,0.875,1,0.821145560507834
"PIP5K1C",0.890033375834469,4.61104801695513,12.4856163554106,0.00178593307167861,0.0409312628379023,0.936017766032793,0.875,0.875,0.819015545278694
"DST",0.937924846242282,9.17347040685624,15.4786258061248,0.000715558595471042,0.0267527809102502,0.813371160196368,1,1,0.813371160196368
"ARHGEF17",0.831003294902951,6.28575795088446,17.0850716711389,0.000442040746934361,0.0211056375942478,0.811970820473866,1,1,0.811970820473866
"INTS1",0.993217637068069,4.83520235987948,14.2276854277022,0.00100159575362304,0.0298355395447206,1.07648921486132,0.75,1,0.807366911145988
"FLNA",0.978509071638425,10.9283156153864,12.9810807172499,0.00159365588229817,0.0386635635922908,0.91929242583762,0.875,1,0.804380872607917
"POLG",0.846243798924619,4.3323755560215,11.7975312803508,0.00224849248971667,0.0469443930740171,0.915875651538566,0.875,0.875,0.801391195096245
"CSPG4",1.06434361094747,6.34704844059836,17.8150945475043,0.00035606888307048,0.0190964523337402,0.912170273519341,0.875,1,0.798148989329423
"CPEB2",0.862129984591393,4.28150119932587,12.9497727366779,0.00144030586119829,0.0366446048981768,0.791963891456089,1,1,0.791963891456089
"SOCS6",0.872233777159636,4.01036989569354,13.1661378985116,0.00135818881899028,0.0354055126144826,0.790576496788112,1,1,0.790576496788112
"NUMA1",0.744747025574999,6.6865444628207,12.617120379155,0.00180134363952268,0.0410307159522011,0.786094158635947,1,1,0.786094158635947
"CCNL2",0.8176620094003,6.35466573655255,19.4520467065982,0.000225081774040763,0.0166100921733223,0.785351926455965,1,1,0.785351926455965
"CDC25B",0.894049170527855,4.53679389020133,16.9915112233829,0.000401232132481369,0.0205488710968993,0.780195643664903,1,1,0.780195643664903
"MBD3",0.827184612338285,4.91148786604558,17.4832740481582,0.000361122493799138,0.0190964523337402,0.777836562906228,1,1,0.777836562906228
"MED17",1.10602994192418,4.11655668039124,12.9903060900925,0.00146726403738206,0.0370628792238354,0.881577722250447,0.875,0.875,0.771380506969141
"CREBZF",0.763562917637579,5.9816249008951,14.6568517159108,0.000918350520238078,0.0289358580468735,0.764209873580043,1,1,0.764209873580043
"PCDH7",0.873677406249679,7.25406501166759,12.6935985487063,0.00173332049341558,0.0401168347367696,0.763091559209114,1,1,0.763091559209114
"BRWD3",1.07457949063212,4.41597963084826,12.4509708058806,0.00180405969268995,0.0410307159522011,0.871553006319388,0.875,1,0.762608880529464
"SUGP2",0.885121192037916,5.2105147300056,19.0828523166498,0.000244883631315852,0.0173105227427547,0.762435099899681,1,1,0.762435099899681
"FLNC",1.16772707861253,5.75538710876387,13.3209015441449,0.00139024849522042,0.0356282773456943,0.870202146531423,0.875,0.875,0.761426878214995
"ARID1B",0.683300501992151,6.83418157344588,14.5685472320416,0.000953840654147145,0.0291635228203991,0.756611403151784,1,1,0.756611403151784
"SMCHD1",0.709771275677225,6.53051791377355,12.2367582554557,0.00205233175298325,0.0440969756986263,0.754054755917916,1,1,0.754054755917916
"ATG2B",0.873404544703448,4.37872974449077,17.8361521553401,0.000307456996559834,0.0185196853269695,0.749725377765696,1,1,0.749725377765696
"PLXNB1",1.15505243519516,4.92162432347189,20.6163675098546,0.000148708750865232,0.0151094483270309,0.746900598947351,1,1,0.746900598947351
"STX16",0.662075013431561,5.67583171191443,14.6881470084054,0.000901933449821207,0.0289358580468735,0.745072406970807,1,1,0.745072406970807
"IREB2",0.784539164122239,5.23158731827577,15.7856267821719,0.000632808753160186,0.025411508193142,0.744723477451894,1,1,0.744723477451894
"MIRLET7BHG",1.19385389459946,4.257492824678,14.2383209078444,0.00102332461755715,0.0301752311390545,0.743086770401774,1,1,0.743086770401774
"NISCH",0.907727443943066,5.45839525505518,21.7288206350627,0.000119506941446561,0.0151094483270309,0.743017405150113,1,1,0.743017405150113
"MED13L",0.736777757012292,6.85221480382414,14.7273692319082,0.000907394993515595,0.0289358580468735,0.736694289507054,1,1,0.736694289507054
"ERBB2",0.733846885553469,5.82346324237166,12.4372577872246,0.00190750734982501,0.0423721424743747,0.841527846402599,0.875,1,0.736336865602274
"LINC-PINT",0.785881387443446,6.93208219823194,12.7200559696962,0.00174445120847718,0.0402422909713353,0.840910078584888,0.875,1,0.735796318761777
"HERC1",0.734059167520799,5.38086630549036,14.1843201690462,0.00105218517466353,0.0303904713870542,0.735093183957894,1,1,0.735093183957894
"TUG1",0.87309068502572,6.4130850567107,17.7889588832048,0.00035989029081102,0.0190964523337402,0.733038620813256,1,1,0.733038620813256
"MT-ND2",0.828057687041933,12.0044636985811,12.2961657351363,0.00200793286907349,0.0435412519839859,0.834142103704535,0.875,1,0.729874340741468
"ZSWIM8",0.874108998583512,5.04198156882908,12.6178431377925,0.00173956612782395,0.0401953845437354,0.83392204110327,0.875,1,0.729681785965361
"NLGN2",0.999322340458542,3.93595560362413,14.8891402127358,0.00074637062084727,0.0271848286157119,0.829988599916816,0.875,1,0.726240024927214
"LUC7L3",0.744216663139667,8.29012602214116,12.3073221432471,0.00200129511412045,0.0435412519839859,0.725739407485557,1,1,0.725739407485557
"WDR11",0.835884632410179,5.12539350388528,14.9357089992901,0.000832016222381088,0.0283267358803416,0.718801238598176,1,1,0.718801238598176
"CELF1",0.838959160201577,6.36733206216286,16.6680785245399,0.000500155146700562,0.0227201443170893,0.813487274937889,0.875,1,0.711801365570653
"GIGYF1",0.781464995464688,4.83820198111777,14.6169378792958,0.000884827900994455,0.0289358580468735,0.807527565167341,0.875,1,0.706586619521423
"SMG1",0.830979595047654,5.74585433454408,13.8373121113594,0.00119255191593663,0.0329058841903367,0.704943321929744,1,1,0.704943321929744
"TTC14",0.934677385813482,6.36734444822065,15.5968899829771,0.000692220045196064,0.0265853992834837,0.702919316971996,1,1,0.702919316971996
"ZCCHC2",0.860033759730825,4.41054991561931,14.0154016126678,0.00103509918496537,0.030245477644397,0.702143395912909,1,1,0.702143395912909
"DGKH",0.789520133393305,5.76201942716302,14.5983111303829,0.000936883257176486,0.0290220760358586,0.701778953305395,1,1,0.701778953305395
"TAF1",0.827336118952891,5.2316231027522,13.0785135503082,0.00149955967375079,0.0373432749143415,0.697213858982541,1,1,0.697213858982541
"DOCK4",1.17991372181273,3.00522201377119,11.8148045392695,0.00210617083886212,0.0447018704196592,0.794588359803609,0.875,0.875,0.695264814828158
"KIAA0319L",0.899258600852638,4.95644101577371,19.6779751605785,0.000202183029148879,0.0163779873324911,0.78302512005815,0.875,1,0.685146980050881
"ZMYM2",0.675837454553715,5.77395796798076,12.0925992331515,0.00214426006845656,0.0451094711416347,0.684861769729538,1,1,0.684861769729538
"SLC26A6",1.07441882488391,3.71276428871783,11.3864176797057,0.00244394486427952,0.0486782430648284,0.781593241227587,0.875,0.875,0.683894086074139
"AKAP6",0.748995878369284,5.87690751770273,11.9239022156545,0.00227285210003808,0.0472166177116551,0.682259295955934,1,1,0.682259295955934
"STK11",0.918497993693167,4.99186867080661,16.1491849642391,0.000542130150257759,0.0236573512937558,0.775285029919543,0.875,1,0.6783744011796
"MYO9B",0.711384903405168,5.3682886928297,12.3108163331715,0.00192977446748469,0.0426037656519126,0.677008719523529,1,1,0.677008719523529
"SETX",0.688344884125257,5.72200540831331,13.4349503139861,0.00136699047798245,0.0354055126144826,0.673630751239462,1,1,0.673630751239462
"DICER1",0.710144716412278,6.36342489457584,12.4724957669869,0.00189185488212014,0.0421258997843339,0.669135772723974,1,1,0.669135772723974
"NFATC4",0.857842927275077,4.98474002432177,13.0686736696614,0.00145137756754942,0.0367274090028887,0.760360772441961,0.875,0.875,0.665315675886715
"KIF1B",0.85248885325088,5.66394138636489,11.886966392238,0.00228727102263602,0.0472166177116551,0.660404638849048,1,1,0.660404638849048
"PRUNE2",0.8952302206177,6.87275950755504,15.5742978497513,0.000690804837915025,0.0265853992834837,0.65923393214809,1,1,0.65923393214809
"TPT1-AS1",0.767378717871289,6.23629446670535,12.5139467231692,0.00186445740538698,0.04184638077855,0.654667504467609,1,1,0.654667504467609
"TRIM33",0.825029760480667,5.46381882911384,19.0515770453437,0.000245780885118527,0.0173105227427547,0.740602432500861,0.875,1,0.648027128438254
"CCNT2",0.78296547625898,5.09398180614965,13.3294940540277,0.00136899640829323,0.0354055126144826,0.640422234054627,1,1,0.640422234054627
"KANSL1",0.849122704352714,6.15949482982574,15.5523294550012,0.000701495649034854,0.0266152763036693,0.63989033565101,1,1,0.63989033565101
"NAV2",0.771718953773867,5.64824130655531,11.7639937981297,0.00239873554908525,0.0483693527387076,0.638036619813948,1,1,0.638036619813948
"TTC17",0.665177417894723,5.6360998313906,14.2419579669344,0.00104770685415089,0.0303232610046341,0.635901176470564,1,1,0.635901176470564
"WDR6",0.681421612773583,5.51675110922981,12.9119646242448,0.00161397159552448,0.0388075971620647,0.635539886242614,1,1,0.635539886242614
"OGA",0.631134649256541,6.95289027792996,15.3525520478302,0.000746401466781163,0.0271848286157119,0.631874136183182,1,1,0.631874136183182
"RNF217",0.690654082051437,5.10229937852216,12.1379808019082,0.00203942529510824,0.0439996178586891,0.717928216192369,0.875,1,0.628187189168323
"WSB1",0.760169969728019,8.50921576789469,12.7720899551918,0.00170962484336731,0.0398300201111772,0.613381045385128,1,1,0.613381045385128
"FOXJ2",0.850974109971828,4.44913808682127,15.0658094866157,0.000746350371804949,0.0271848286157119,0.611932408539157,1,1,0.611932408539157
"ZNF142",1.04638533773173,3.31734061394313,14.6442836295756,0.000795913765039703,0.0278372320551727,0.698136848704663,0.875,0.875,0.61086974261658
"SACS",0.784958248232442,5.53123064033689,11.8640264287715,0.00232168920701683,0.0476692958042131,0.680136451467746,0.875,1,0.595119395034278
"MYSM1",0.801672609995949,5.43460981928371,12.7989126642513,0.00166596720172205,0.0391363461804537,0.672073916887721,0.875,1,0.588064677276756
"TIA1",0.659477547517609,5.82337231230225,12.4093200193348,0.00192175385053687,0.042522952155914,0.580898709348043,1,1,0.580898709348043
"N4BP2L2",0.751724197924191,8.91413550695854,16.8651990880907,0.000470554632694775,0.0220064462218362,0.580172903912792,1,1,0.580172903912792
"MARK3",0.622101254588005,6.28252570529899,12.5868654197421,0.00182203158910469,0.0413099417690313,0.573335213181608,1,1,0.573335213181608
"ULK1",0.834197563593303,5.02850839315446,14.8013975688608,0.00079281027926671,0.0277976638961798,0.640870562383653,0.875,1,0.560761742085696
"MPRIP",0.666717312965724,6.90998152801067,13.0650618517434,0.00155326275271954,0.0383419238171313,0.527897344489509,1,1,0.527897344489509
"NRBP2",0.736769093228833,4.83995797320058,12.3959387457979,0.00183274499529035,0.0413983024176562,0.592509602449918,0.75,1,0.444382201837439
