"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"HLA-DMB",2.01922613922167,3.38344872478011,12.9938433842394,0.000777803965886681,0.0355140956312594,1.84932900739966,0.666666666666667,0.666666666666667,1.23288600493311
"LST1",2.06054801158934,3.81850007898205,21.4975908004349,2.65856895157866e-05,0.00487777460852873,1.63094092454387,0.75,0.75,1.22320569340791
"SLC15A3",1.43879484208875,3.69358876762255,12.5791050229927,0.000885650069840162,0.0379663412577635,1.44280009971887,0.833333333333333,0.833333333333333,1.20233341643239
"COX4I2",2.15310009757136,6.65283822734431,26.1271210143405,6.1650133763367e-06,0.00211445621567939,1.23407570666099,0.916666666666667,1,1.13123606443924
"CD53",1.55359348415392,3.6592038090568,13.5414659899214,0.000580781702267133,0.0314905130667381,1.34209018771896,0.833333333333333,0.833333333333333,1.1184084897658
"ALOX5AP",1.58632399336523,3.99505077579584,15.265773156309,0.000286744191475035,0.0214148605625103,1.63303129305312,0.666666666666667,0.833333333333333,1.08868752870208
"MYCBP",1.37054908104096,4.09622080180832,13.5245071442965,0.000591735516887781,0.0314905130667381,1.18033770742039,0.916666666666667,1,1.08197623180202
"PARVG",2.24227700249055,2.3904866738755,11.6544281527939,0.00118922518810357,0.0441093704538242,1.44023976014096,0.666666666666667,0.666666666666667,0.960159840093973
"CD52",1.5300787527749,4.50200651687721,12.6145771025587,0.000888353058492714,0.0379663412577635,1.23936908687298,0.666666666666667,0.75,0.826246057915319
"SLCO2B1",1.90529678823623,2.87340987738749,13.7757370417295,0.00049793541243123,0.0304694133857433,1.12618674723793,0.666666666666667,0.666666666666667,0.750791164825286
"MARCO",2.09968745001303,3.43920748455187,15.2351853379311,0.00033915699474892,0.0241637070461694,1.04870812471585,0.666666666666667,0.75,0.699138749810566
"GMFG",1.8443592980141,4.4500536258849,15.4873031680394,0.000316684210501591,0.0231210828538488,0.577613483271447,0.666666666666667,0.666666666666667,0.385075655514298
