"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"RASL12",0.955019795143151,6.63242436328115,14.7041104760478,0.00114990169458074,0.0383356960868163,1.2057788749372,0.875,1,1.05505651557005
"PPP1R12A",0.978962373378936,8.50931465009062,14.512883233453,0.00121709027687532,0.0393851530193438,1.0396500589778,1,1,1.0396500589778
"RAP1A",0.968122305236235,7.60173403090466,27.1815100389692,5.24017626258604e-05,0.00762202545245633,1.00744689643231,1,1,1.00744689643231
"MYOZ1",1.25245751797308,5.1563461227716,14.4233186138606,0.00118408599869797,0.0388548122899301,1.00652588118321,1,1,1.00652588118321
"DMTN",1.28590401165481,3.29951585067149,15.925595688586,0.000792863590668124,0.0324246736253234,1.14972655057813,0.875,1,1.00601073175586
"PPP1R14A",1.00314698950906,10.8904347221812,26.5880207274597,5.93488497581467e-05,0.00837352921237691,1.00062106898509,1,1,1.00062106898509
"MYL6",0.843086060783536,11.6621361864175,26.9738745078159,5.46866140244637e-05,0.00787319833950162,0.965118228449381,1,1,0.965118228449381
"AKAP6",0.864327152959808,5.8580523830727,21.5068004528768,0.000188506072185434,0.0149181476547064,0.962585234910741,1,1,0.962585234910741
"LDOC1",1.03835296023041,7.01596473982195,14.4701634464264,0.00123408972768294,0.0395295743698223,0.951536043876502,1,1,0.951536043876502
"SPANXA2-OT1",1.56994330702664,2.32884669569919,13.8681484982872,0.00139085784017235,0.0423836139675847,1.25298891367967,0.75,0.75,0.939741685259751
"CRYAB",0.831317462998162,10.0162960161417,16.1813299489025,0.000750603712673062,0.0314251269498642,0.939574834884843,1,1,0.939574834884843
"HDAC9",0.875314782790004,3.33680520311266,13.1040629282258,0.00185232644522852,0.048849483767718,0.935476570827556,1,1,0.935476570827556
"CFL2",0.962737510906795,7.25625480798966,17.8185653534223,0.000480082647735296,0.0241047690092019,0.931441577399263,1,1,0.931441577399263
"LMCD1",0.913165081009635,7.5534174402034,20.6117056916769,0.000233544693789195,0.0164754104233588,0.928497076813317,1,1,0.928497076813317
