"gene","logFC","logCPM","F","PValue","FDR","median_logFC_by_sample","prop_same_sign","expr_prop_in_A","stability_score"
"SOX9",3.77154101619241,4.16378981908096,86.9804862549454,8.35936342738028e-11,2.50663871733425e-07,3.02988705473083,0.909090909090909,1,2.75444277702803
"CREB3L1",3.82042054256901,3.58858511567088,73.9061691498699,6.02780597927917e-10,1.21039224152135e-06,3.35879518118836,0.818181818181818,0.909090909090909,2.74810514824502
"POSTN",3.32514174899886,9.45759264400166,12.1665037144495,0.00262383338234185,0.0316230979915204,3.01185884374659,0.909090909090909,0.909090909090909,2.73805349431509
"LAMA2",2.29891107978045,6.80255090047891,75.9167979225347,1.38685237698023e-09,1.95255627632183e-06,2.69278878061165,1,1,2.69278878061165
"TNFRSF19",2.94491914454839,3.17585506851843,31.9464419078046,1.71226780622072e-06,0.000171079356719359,2.94404598825001,0.909090909090909,1,2.67640544386364
"CORIN",2.87513380927228,1.18058712371663,17.8529522989238,0.000161980363296503,0.00449275582655091,2.66655358917136,1,0.909090909090909,2.66655358917136
"ABCA6",2.49870986509865,5.53994558608013,42.2644193262208,3.19864435715348e-07,5.04813419440022e-05,2.66133352331805,1,1,2.66133352331805
"CCN4",2.57385561316146,3.29140694825006,52.5818217652141,1.96141730241076e-08,8.91137261061953e-06,2.63778082323695,1,1,2.63778082323695
"GAP43",3.72357211211788,6.10168462106851,14.2856758749954,0.00138297751257222,0.0200920366724761,3.59804294241496,0.727272727272727,0.727272727272727,2.61675850357452
"GDF10",3.74322568861977,2.96533371329303,39.1876930126141,3.34476815972167e-07,5.18115452726589e-05,2.85982776299773,0.909090909090909,0.909090909090909,2.59984342090703
"FGF14",2.62248053344565,3.36493916394432,60.4596151876136,5.37419594754556e-09,4.55254064151752e-06,2.84364995302474,0.909090909090909,0.909090909090909,2.58513632093158
"PODNL1",2.62042408343199,4.34411520835737,28.7505785091225,8.52228527346928e-06,0.0005423575002195,2.58148175734284,1,1,2.58148175734284
"COL1A1",2.48557734917715,10.1680775927682,29.314713769316,1.06100080563347e-05,0.000633768329835162,2.56685205183954,1,1,2.56685205183954
"CYP1B1",3.50785965950316,5.18991566034379,64.0896357947978,6.6894187547802e-09,5.27865554686419e-06,2.55341994128918,1,1,2.55341994128918
"STEAP4",2.65029822259418,5.72818759419052,34.1332296349118,2.44606344731715e-06,0.000216145256506114,2.80356466474753,0.909090909090909,0.909090909090909,2.54869514977048
"S1PR2",2.38514048950671,3.31544107108097,43.608896976851,1.55301991579713e-07,3.23394827743699e-05,2.52360857625397,1,1,2.52360857625397
"ECM1",2.48067566352597,5.71275013653076,30.0498232657354,6.65985079947691e-06,0.000455941292404371,2.49430552464295,1,1,2.49430552464295
"PPP1R14C",4.24514308993308,1.75632454780536,34.3350937332381,2.28514820818961e-06,0.000207643800517496,3.41989513812297,0.727272727272727,0.818181818181818,2.48719646408944
"FBLN1",2.36962026873017,8.42266255831552,28.9294702539374,1.16962963899633e-05,0.000676809702412969,2.71471891596318,0.909090909090909,1,2.46792628723925
"SRPX2",2.6543913618856,4.33817164463196,42.6813946469353,2.11091754943702e-07,3.95612335233866e-05,2.44428414836498,1,1,2.44428414836498
"CADM3",3.00403429152218,2.46942937588731,25.9044718944522,1.1736845369664e-05,0.000676809702412969,2.37412981832302,1,0.909090909090909,2.37412981832302
"MATN2",2.41390803219818,5.74903760417453,33.348774009068,2.73701870444277e-06,0.000230540008065789,2.36466132692421,1,1,2.36466132692421
"PLAT",2.83870183878809,6.3992113168805,15.5213283931767,0.000702469190987871,0.0126587987746168,2.56665907287411,0.909090909090909,1,2.33332642988556
"SFRP2",2.17857027679131,5.57567150340631,10.5436438269825,0.00387297767818534,0.0414768245207377,2.32074709556579,1,1,2.32074709556579
"EMP1",2.55404916738814,6.30394534871529,47.0173154933931,2.29462723816724e-07,4.19553002217578e-05,2.31644199303072,1,1,2.31644199303072
"FLRT2",2.55649140804338,3.19154169546895,20.444919545351,6.63194420113293e-05,0.00235346043828519,2.5471902210664,0.909090909090909,0.909090909090909,2.31562747369673
"LXN",1.95503203353431,5.69050260930033,22.0819798738022,6.63985703591432e-05,0.00235346043828519,2.31534719645255,1,1,2.31534719645255
"LOX",2.15959974518347,5.75296179200356,39.352031393215,7.50184538527184e-07,8.93483637164371e-05,2.30307507292826,1,1,2.30307507292826
"CYGB",2.85762550330123,3.65480136051948,40.7486033654273,2.38749277864663e-07,4.31273243737938e-05,2.81114495669243,0.818181818181818,0.909090909090909,2.30002769183926
"COL6A3",2.18193442777364,7.94059793022092,33.4589666682392,4.02992444732552e-06,0.000303820475443675,2.29451152800007,1,1,2.29451152800007
"CFH",2.4620914643904,9.44661912401291,69.6070583104702,4.29357010082198e-09,4.55254064151752e-06,2.2916418712246,1,1,2.2916418712246
"STEAP1",2.3546589103692,5.36188454257245,52.0623436222642,4.64970073029956e-08,1.54917695665292e-05,2.51485018859031,0.909090909090909,1,2.28622744417301
"TMEM119",3.40340951182836,3.50509198840837,25.240621121804,1.50337365931382e-05,0.000813721345635093,2.50157619205095,0.909090909090909,0.909090909090909,2.27416017459177
"SFRP4",2.57187952822165,7.76403152345854,26.586053876191,1.78408337738735e-05,0.000907524645553679,2.46832840068489,0.909090909090909,1,2.24393490971353
"OAF",2.22982671398183,3.00571906914323,26.1372503753785,1.0875577547964e-05,0.000644496182516304,2.45499548509286,0.909090909090909,1,2.23181407735715
"PRR5",2.25956028668845,2.01556276987746,23.3536877033247,2.16070653434817e-05,0.00103831644453468,2.20941889907859,1,1,2.20941889907859
